const,max_depth,n_samples,threshold,lpd (ht) (mean),lpd (ht) (std),count,stream
1.0,3,250,0.55,0.0009574580196426,,1,Powersupply
1.0,3,250,0.5,0.0009509250286809,,1,Powersupply
1.0,2,250,0.5,0.0007774473440928,,1,Powersupply
1.0,2,250,0.55,0.0007696505942237,,1,Powersupply
1.0,2,250,0.45,0.0007284392020583,,1,Powersupply
0.5,2,250,0.5,0.0007056386226091,,1,Powersupply
0.5,2,250,0.55,0.0006977763538335,,1,Powersupply
0.5,2,250,0.45,0.0006732067639098,,1,Powersupply
0.5,3,250,0.45,0.0006694066673349,,1,Powersupply
0.5,3,250,0.5,0.0006170570610708,,1,Powersupply
0.5,3,250,0.55,0.0006103741326115,,1,Powersupply
1.0,3,100,0.45,8.587203772908358e-05,,1,Powersupply
1.0,3,100,0.5,7.429425787145899e-05,,1,Powersupply
1.0,3,100,0.55,3.479256568991414e-05,,1,Powersupply
0.5,3,100,0.45,1.991377672201013e-05,,1,Powersupply
0.5,3,100,0.5,7.017074882213481e-06,,1,Powersupply
0.5,3,100,0.55,2.315866297760133e-06,,1,Powersupply
0.5,2,100,0.55,-4.112571359538969e-05,,1,Powersupply
0.5,2,100,0.45,-4.953574164971013e-05,,1,Powersupply
1.0,2,100,0.55,-5.0269815843922194e-05,,1,Powersupply
1.0,2,100,0.5,-5.071865348538579e-05,,1,Powersupply
0.5,2,100,0.5,-5.20106171393871e-05,,1,Powersupply
1.0,2,100,0.45,-5.907231405944937e-05,,1,Powersupply
1.0,3,500,0.5,0.0024974727248518,,1,RialtoBridgeTimelapse
1.0,3,500,0.45,0.0024974727248518,,1,RialtoBridgeTimelapse
1.0,3,500,0.55,0.0024958417464635,,1,RialtoBridgeTimelapse
1.0,2,500,0.5,0.0024798285041051,,1,RialtoBridgeTimelapse
1.0,2,500,0.45,0.0024798285041051,,1,RialtoBridgeTimelapse
1.0,2,500,0.55,0.0024753803812278,,1,RialtoBridgeTimelapse
1.0,3,250,0.5,0.0017199959722057,,1,RialtoBridgeTimelapse
1.0,3,250,0.55,0.0017196842234228,,1,RialtoBridgeTimelapse
1.0,3,250,0.45,0.0017150859288757,,1,RialtoBridgeTimelapse
0.5,3,250,0.5,0.0016506459063973,,1,RialtoBridgeTimelapse
0.5,3,250,0.45,0.0016467190335301,,1,RialtoBridgeTimelapse
0.5,3,250,0.55,0.0016467190335301,,1,RialtoBridgeTimelapse
0.5,2,250,0.55,0.0016425507849238,,1,RialtoBridgeTimelapse
1.0,2,250,0.55,0.0016388806708445,,1,RialtoBridgeTimelapse
1.0,2,250,0.45,0.0016276230759081,,1,RialtoBridgeTimelapse
1.0,2,250,0.5,0.0016249212531234,,1,RialtoBridgeTimelapse
0.5,2,250,0.45,0.0016188311014578,,1,RialtoBridgeTimelapse
0.5,2,250,0.5,0.0016162204444725,,1,RialtoBridgeTimelapse
1.0,3,100,0.45,0.0009585071831869,,1,RialtoBridgeTimelapse
1.0,3,100,0.5,0.000955003768511,,1,RialtoBridgeTimelapse
